大丈夫、大丈夫。	It's okay.
何を売っているのですか?	What are you selling?
私はズボンをはいた。	I put on my trousers.
お好きな席におかけください。	You can sit anywhere you like.
あのブドウは酸っぱいよ。	The grapes are sour.
悲しいの？	Are you sad?
トムはとても社交的な人だ。	Tom is very sociable.
鉛筆が私の机の端から転がり落ちた。	My pencil fell off the edge of my desk.
彼は私の手をしっかりと握った。	He held on to my hand tightly.
私達は泥棒を追いかけた。	We ran after the thief.
彼は私に塩をくれた。	He gave me the salt.
もっと早く私に言ってくれたらよかったのに。	You could've told me earlier.
電車が好きだ。	I like trains.
本は小さいです。	This book is small.
猫は日なたぼっこをしていた。	The cat was basking in the sun.
彼女は外車に乗っている。	She drives an imported car.
トムはどっか他の所に行きたいんだよ。	Tom wants to go somewhere else.
がんばりましたね。	You did your best.
以前ほど金持ちではない。	I'm not as rich as I was.
彼女は無関心を装った。	She assumed an air of indifference.
このネクタイはいくらですか。	How much is this tie?
彼女は彼が車を盗んだという理由で訴えた。	She accused him of stealing her car.
英語を話すとき間違いを恐れてはいけない。	Don't be afraid of making mistakes when you speak English.
日朝間にはまだ外交関係が樹立されていない。	Diplomatic relations have not yet been established between Japan and North Korea.
俺ってハンサムかな。	Do you think I'm handsome?
「私のどこが好きなの？」「全部」	"What about me do you like? ""Everything."""
そのリストの中であなたの名前はなんですか?	Wasn't your name on the list?
何か食べたいものある？	Do you want anything to eat?
一緒にスキーに行くのは楽しいだろうと思ったんだ。	I thought it would be fun for us to go skiing together.
ワインはありますか。	Do you have some wine?
私達は交替で運転した。	We took turns driving.
彼は友人たちに助けを求めた。	He asked his friends for help.
君はまだ初心者だ。	You're still a beginner.
例外のないルールはない。	Every rule has its exceptions.
頭痛がする。	I have a headache.
明日の2時半にまたここに来てもらってもいい？	Could you come back here tomorrow at 2:30?
その少年は北海道から九州まで自転車旅行をしたそうです。	I hear he traveled by bicycle from Hokkaido to Kyushu.
もうそろそろ腰を落ち着けてもいいんじゃないの。	It's about time you settled down for good.
喜んでいただけてよかったです。	I'm glad you enjoyed it.
頼りにしてるよ。	I am counting on you.
仕事を選ぶときはいくら注意してもし過ぎることはない。	You cannot be too careful when you choose your job.
あなたは健康そうですね。	You look healthy.
僕は見張られているような気がした。	I felt that I was being spied on.
いつも本当のことを言う必要はないんだよ。	You don't have to tell the truth all the time.
バスが早く来るといいが。	I hope the bus will come before long.
私は今30歳です。	I'm thirty.
彼女は手を振って彼を迎えた。	She greeted him waving her hand.
なんでそんなにトムのこと嫌いなの？	Why do you dislike Tom so much?
彼はなんという天才なんだろう。	What a genius he is!
お世話になっております。	It has always been a pleasure to work with you.
トムは私の顔をまともに見れなかった。	Tom couldn't look me straight in the face.
列車が私たちの側を通り過ぎた。	The train passed by us.
もしお金を持ってたら新しい家を買うのに。	"If I had the money, I'd buy a new house."
彼は川に沿って歩いた。	He walked along the river.
彼の努力に頭が下がる。	I take my hat off to him for his hard work.
風がおさまった。	The wind has died down.
彼は裏口入学した。	He bought his way into college.
ウエートレスはテーブルの上に白いテーブルクロスをかけた。	The waitress spread a white cloth over the table.
危ない！トラックが来るぞ！	Look out! There's a truck coming!
悪気は無かったんです。	I meant no harm.
トムは役者さんなの？	Is Tom an actor?
トムは３０分程前にここを出発した。	Tom left here about thirty minutes ago.
この詩は誰が書いたのですか。	Who was this poem written by?
私は１０時まで彼を待った。	I waited for him till ten.
それは本当だと信じてるよ。	I believe that's true.
僕は君と同意見だ。	I agree with you.
彼はその保存情報にアクセスできる。	He has access to the stored information.
トムをそこまで嫌いなの？	Do you hate Tom that much?
君の愚痴はもう聞きたくないよ。	I don't want to hear any more of your complaining.
トムは一度も訳を聞きませんでした。	Tom never asked why.
至急お願いします。	It's urgent.
もう一回やってみて。	Give it another shot.
下がっていろ！	Back off!
